cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Conservative Party,A woman,43,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,60,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
People's Party,A man,45,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Liberal Party,A woman,45,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,35,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A woman,29,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Don't know/ Prefer not to answer,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A man,51,Ontario,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,63,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Bloc Québécois,A woman,57,Quebec,Some secondary/ high school,Other,Female,55 to 64
ndp,A woman,56,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A woman,61,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A man,38,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
ndp,A man,60,New Brunswick,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,43,Nova Scotia,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A man,36,Nova Scotia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Liberal Party,A man,63,Nova Scotia,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,45,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Bloc Québécois,A woman,57,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,36,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Bloc Québécois,A woman,33,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,25 to 34
Bloc Québécois,A woman,35,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A man,59,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Green Party,A woman,34,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,39,New Brunswick,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A woman,34,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Don't know/ Prefer not to answer,A man,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A man,55,Prince Edward Island,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,26,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Conservative Party,A man,63,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A woman,47,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Don't know/ Prefer not to answer,A man,52,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Liberal Party,A woman,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,53,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Bloc Québécois,A woman,55,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,58,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,26,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,52,Manitoba,Some university,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,43,Newfoundland and Labrador,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A man,51,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A man,43,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A man,53,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
People's Party,A man,57,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,46,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,53,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,51,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A man,59,Nova Scotia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Green Party,A woman,37,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A man,38,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Don't know/ Prefer not to answer,A woman,48,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,56,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A man,37,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Liberal Party,A man,43,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A woman,59,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Don't know/ Prefer not to answer,A woman,43,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Green Party,A woman,31,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Green Party,A woman,47,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Green Party,A man,34,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Don't know/ Prefer not to answer,A woman,48,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
ndp,A woman,47,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Another party (please specify),A woman,25,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,59,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A woman,60,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,63,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Don't know/ Prefer not to answer,A woman,55,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A man,62,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A man,61,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Don't know/ Prefer not to answer,A woman,38,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Green Party,A man,64,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Don't know/ Prefer not to answer,A woman,55,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,57,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A woman,55,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,44,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Liberal Party,A woman,50,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,53,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Don't know/ Prefer not to answer,A woman,31,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,53,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
ndp,A woman,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,36,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,35 to 44
Liberal Party,A man,63,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,55,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A man,56,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,27,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,31,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Another party (please specify),A woman,35,Nova Scotia,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,64,Ontario,Some university,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A woman,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A woman,48,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A man,40,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A woman,56,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A woman,41,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Bloc Québécois,A man,58,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A man,60,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,64,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,42,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Green Party,A woman,27,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,39,Manitoba,Some university,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A woman,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A woman,64,British Columbia,Some secondary/ high school,Other,Female,55 to 64
Green Party,A woman,31,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,43,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,47,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
Liberal Party,A woman,57,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A woman,58,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
People's Party,A woman,62,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,62,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Bloc Québécois,A man,64,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,64,Quebec,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,62,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A man,54,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
ndp,A man,29,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Green Party,A man,59,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,52,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Don't know/ Prefer not to answer,A man,58,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,61,Newfoundland and Labrador,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,62,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Don't know/ Prefer not to answer,A woman,52,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,57,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,48,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A woman,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A woman,54,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A man,58,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
ndp,A woman,34,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,56,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A man,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A woman,35,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A woman,34,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,52,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,63,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A man,55,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A woman,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Don't know/ Prefer not to answer,A woman,63,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,36,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
ndp,A woman,27,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Liberal Party,A woman,59,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Don't know/ Prefer not to answer,A woman,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
People's Party,A man,52,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Conservative Party,A man,52,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A man,42,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A man,38,Prince Edward Island,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A man,64,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,46,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A woman,37,Quebec,Some secondary/ high school,Other,Female,35 to 44
Don't know/ Prefer not to answer,A woman,34,Ontario,Don't know/ Prefer not to answer,Other,Female,25 to 34
Don't know/ Prefer not to answer,A woman,58,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A woman,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,54,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A woman,37,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Don't know/ Prefer not to answer,A woman,61,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,48,New Brunswick,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Conservative Party,A woman,55,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,36,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A woman,32,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,25 to 34
Conservative Party,A man,35,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
ndp,A woman,41,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Don't know/ Prefer not to answer,A woman,63,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A man,53,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A woman,58,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,32,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,57,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A man,53,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Green Party,A woman,50,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Conservative Party,A woman,45,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A man,45,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Green Party,A woman,40,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A woman,59,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,57,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,34,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,57,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,41,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,36,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,55,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Green Party,A woman,63,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Don't know/ Prefer not to answer,A man,62,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
People's Party,A man,29,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,33,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A man,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A woman,64,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A man,54,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A man,27,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
ndp,A woman,35,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A woman,60,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Green Party,A man,58,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,63,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,59,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Another party (please specify),A woman,51,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A woman,45,Manitoba,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,36,Nova Scotia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A man,25,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Conservative Party,A man,50,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Liberal Party,A man,45,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A woman,43,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A man,38,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A woman,50,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Don't know/ Prefer not to answer,A woman,49,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,61,Quebec,Some elementary school,NA,Male,55 to 64
Conservative Party,A man,64,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,43,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Don't know/ Prefer not to answer,A woman,58,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,62,Ontario,Completed elementary school,NA,Female,55 to 64
Liberal Party,A woman,33,Nova Scotia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,59,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A woman,48,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,39,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A man,44,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Don't know/ Prefer not to answer,A woman,63,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Green Party,A man,34,Prince Edward Island,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Green Party,A man,30,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
ndp,A woman,41,Saskatchewan,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A woman,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,55,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A man,61,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A woman,25,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,48,Alberta,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
Conservative Party,A man,37,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Liberal Party,A woman,30,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Don't know/ Prefer not to answer,A man,55,Ontario,Some secondary/ high school,Other,Male,55 to 64
Liberal Party,A man,29,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A man,53,Nova Scotia,Some secondary/ high school,Other,Male,45 to 54
Liberal Party,A woman,63,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,36,Nova Scotia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Green Party,A man,35,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A man,48,Nova Scotia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Conservative Party,A man,34,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A woman,57,Newfoundland and Labrador,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
ndp,A woman,38,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A man,41,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
